0.0625
0.000244140625
1.0773181717869762
0.004097307
0.00000170, 0.89207130, -0.65158698, -0.39266246, 0.95224237, -0.33595349, -0.69480917, 0.86817348, 0.03092831, -0.89107662, 0.65204232, 0.39322063, -0.95155554, 0.33678623, 0.69580499, -0.86699742, -0.02955484, 0.89266466, -0.65022253, -0.39115193, 0.95389032, -0.33416822, -0.69288656, 0.87023341, 0.03312557, -0.88874202, 0.65451425, 0.39582988, -0.94880896, 0.33967014, 0.69882623, -0.86383885, 
0.00001302, 0.82478898, -0.53745164, -0.40808853, 0.85034721, -0.24209269, -0.66407163, 0.75175752, 0.09060486, -0.81862635, 0.53907184, 0.40989241, -0.84813307, 0.24477690, 0.66728131, -0.74796705, -0.08617829, 0.82374433, -0.53320713, -0.40322566, 0.85565718, -0.23634013, -0.65787656, 0.75839509, 0.09768494, -0.81110376, 0.54703692, 0.41830000, -0.83928298, 0.25406950, 0.67701642, -0.73778944, 
0.00003627, 0.76258480, -0.43682130, -0.41421097, 0.75531216, -0.16275654, -0.62907437, 0.64660806, 0.13740076, -0.74758208, 0.44006018, 0.41728863, -0.75156817, 0.16729374, 0.63449940, -0.64020169, -0.12991961, 0.75623149, -0.43014906, -0.40602234, 0.76428309, -0.15303672, -0.61860684, 0.65782327, 0.14936365, -0.73487151, 0.45351843, 0.43149457, -0.73661455, 0.18299503, 0.65094838, -0.62300503, 
0.00007144, 0.70507658, -0.34830749, -0.41270168, 0.66726247, -0.09632667, -0.59117793, 0.55214822, 0.17311807, -0.67874619, 0.35381939, 0.41712089, -0.66198287, 0.10271856, 0.59881982, -0.54312447, -0.16258083, 0.69092852, -0.33986037, -0.40125357, 0.67989010, -0.08263981, -0.57643795, 0.56794107, 0.18996377, -0.66084763, 0.37277081, 0.43712517, -0.64092574, 0.12482854, 0.62198267, -0.51890877, 
0.00011852, 0.65191099, -0.27065430, -0.40500633, 0.58619579, -0.04130195, -0.55152218, 0.46774980, 0.19937749, -0.61273090, 0.27919734, 0.41088321, -0.57936851, 0.04955071, 0.56138245, -0.45610716, -0.18578268, 0.62844763, -0.26118893, -0.39041337, 0.60246954, -0.02364874, -0.53250978, 0.48812028, 0.22110600, -0.58964435, 0.30364192, 0.43668582, -0.55220787, 0.07806939, 0.59125916, -0.42487242, 
0.00017753, 0.60276134, -0.20272628, -0.39237101, 0.51200792, 0.00370172, -0.51105179, 0.39275284, 0.21762887, -0.54998593, 0.21508839, 0.39987154, -0.50361133, 0.00640717, 0.52313205, -0.37848983, -0.20097501, 0.56923856, -0.19302909, -0.37479769, 0.53190766, 0.02531952, -0.48776709, 0.41770095, 0.24424020, -0.52171139, 0.24502613, 0.43147249, -0.47034717, 0.04133454, 0.55972262, -0.34023604, 
0.00024846, 0.55732559, -0.14349743, -0.37586601, 0.44451474, 0.03995327, -0.47053973, 0.32648199, 0.22916231, -0.49082328, 0.16044123, 0.38520250, -0.43451467, -0.02797920, 0.48484177, -0.30959709, -0.20944789, 0.51361329, -0.13432957, -0.35552314, 0.46800777, 0.06553210, -0.44298304, 0.35600771, 0.26065645, -0.45736076, 0.19587214, 0.42260179, -0.39514700, 0.01335686, 0.52814622, -0.26432426, 
0.00033131, 0.51532447, -0.09204112, -0.35640696, 0.38347069, 0.06860981, -0.43060885, 0.26825982, 0.23511946, -0.43543929, 0.11426449, 0.36783121, -0.37181814, -0.05476281, 0.44713479, -0.24875149, -0.21234299, 0.46176818, -0.08409897, -0.33354486, 0.41050951, 0.09814340, -0.39878079, 0.30236309, 0.27149640, -0.39678878, 0.15518856, 0.41102884, -0.32634695, -0.00701806, 0.49715310, -0.19645962, 
0.00042608, 0.47649981, -0.04752094, -0.33477368, 0.32858449, 0.09072096, -0.39175142, 0.21741762, 0.23650501, -0.38393414, 0.07563015, 0.34856812, -0.31521404, -0.07498963, 0.41050394, -0.19528425, -0.21066500, 0.41380340, -0.04140927, -0.30967329, 0.35910517, 0.12419940, -0.35565318, 0.25609833, 0.27776475, -0.34009564, 0.12204739, 0.39756409, -0.26363933, -0.02083618, 0.46723611, -0.13597334, 
0.00053278, 0.44061287, -0.00918241, -0.31162694, 0.27953218, 0.10723401, -0.35434699, 0.17330399, 0.23419797, -0.33632908, 0.04367548, 0.32809478, -0.26436125, -0.08960225, 0.37532955, -0.14854388, -0.20529291, 0.36974020, -0.00539776, -0.28458997, 0.31345363, 0.14464270, -0.31398055, 0.21656193, 0.28034049, -0.28730260, 0.09558588, 0.38288909, -0.20668303, -0.02904012, 0.43877560, -0.08221392, 
