Runge-Kutta methods
Kutta's third-order method, order: 4, type: Explicit
0.00001, 0.5005796353378812, 0.4999999676271677, 0.5000000004665761
1.0000099999980838, 104888.09541552111, 0.12397218025538335, 13016.00882997681
2.000010000004635, 84196.5034409152, 0.2983786945414782, 25137.734596664795
3.0000100000111862, 1.0651014488195756, 16.70668408784897, 31021.746804806422
4.0000100000177365, 1.0026233273211658, 382.2033408980575, 26408.716996859028
5.000009999979879, 1.0014642445231423, 683.9454822789731, 22481.680377955552
6.000009999942021, 1.001074507675081, 931.6540759348433, 19138.62514291681
7.000009999904163, 1.0008829196731213, 1133.5984364764008, 16292.708687727612
8.000009999866306, 1.000771711167966, 1296.812187571937, 13870.002552788435
9.000009999828448, 1.0007011206319165, 1427.277169387965, 11807.572016355936
10.00000999979059, 1.0006539828640286, 1530.0799955343416, 10051.841244918018
11.000009999752733, 1.000621674717105, 1609.5453253021506, 8557.201554392963
12.000009999714875, 1.0005993899743661, 1669.3493136584368, 7284.826632692727
13.000009999677017, 1.000584238324936, 1712.6161867512271, 6201.663947632567
14.00000999963916, 1.0005743776305043, 1742.0004523666876, 5279.576140290698
15.000009999601302, 1.0005685786811525, 1759.7568816160026, 4494.610099892353
16.000009999563446, 1.0005659902566957, 1767.8000804513138, 3826.3747330044544
17.000009999525588, 1.000566004617401, 1767.7551991690277, 3257.511263359474
18.00000999948773, 1.0005681766768055, 1761.0010978343862, 2773.242302279834
19.000009999449873, 1.0005721734259774, 1748.7070895726515, 2360.987975895263
20.000009999412015, 1.0005777411793915, 1731.8642168272527, 2010.0391372814706
21.000009999374157, 1.0005846837249777, 1711.3118736531883, 1711.2791745404102
22.0000099993363, 1.000592847367546, 1687.7604662020506, 1456.9471882219723
23.00000999929844, 1.0006021104560463, 1661.810700624026, 1240.4363861394693
24.000009999260584, 1.0006123759014331, 1633.9699999880743, 1056.1224584726926
25.000009999222726, 1.0006235657340483, 1604.6664772272288, 899.2174748533607
26.00000999918487, 1.0006356170798185, 1574.260827615179, 765.6455081114782
27.00000999914701, 1.0006484791412624, 1543.0564502225538, 651.9367537565225
28.000009999109153, 1.0006621109017182, 1511.308061781421, 555.1373947305975
29.000009999071295, 1.0006764793578389, 1479.229027211801, 472.7328699873431
30.000009999033438, 1.0006915581432143, 1446.9975977138085, 402.5825536412628
31.00000999899558, 1.0007073264452093, 1414.762218938169, 342.8641478453986
32.00000999895772, 1.0007237681441932, 1382.6460475800975, 292.02634488867596
33.000009999275136, 1.0007408711232686, 1350.750794166751, 248.74852881473882
34.00000999959255, 1.0007586267100754, 1319.1599922931207, 211.90646972942886
35.00000999990996, 1.000777029221882, 1287.94177965229, 180.54311963668022
36.00001000022738, 1.0007960755922123, 1257.1512635120564, 153.8437511651425
37.00001000054479, 1.0008157650623977, 1226.8325324848881, 131.11479336320372
38.000010000862204, 1.0008360989252738, 1197.0203672397106, 111.76581477902978
39.00001000117962, 1.0008570803110945, 1167.7416949741264, 95.29418579949561
40.00001000149703, 1.0008787140078983, 1139.0168257983603, 81.27202182083151
41.000010001814445, 1.0009010063102055, 1110.8605035086202, 69.33506807333053
42.00001000213186, 1.0009239648911799, 1083.2827983964587, 59.173237360715845
43.00001000244927, 1.0009475986943677, 1056.28986562798, 50.52255491269296
44.000010002766686, 1.0009719178418763, 1029.884589226469, 43.158301101751256
45.0000100030841, 1.0009969335564557, 1004.067128711022, 36.889173892361626
46.00001000340151, 1.001022658095402, 978.8353829080008, 31.552319380241972
47.00001000371893, 1.0010491046945882, 954.1853832911606, 27.00910132982233
48.00001000403634, 1.0010762875212063, 930.1116273685186, 23.141499815037264
49.000010004353754, 1.001104221634055, 906.6073610688818, 19.8490454107671
50.00001000467117, 1.001132922950397, 883.6648177485317, 17.04620929432603
51.00001000498858, 1.0011624082185555, 861.2754203043578, 14.66018145954222
52.000010005305995, 1.0011926949955712, 839.4299519143603, 12.628979328014205
53.00001000562341, 1.0012238016293145, 818.1187001045488, 10.899837624874776
54.00001000594082, 1.001255747244564, 797.3315781416877, 9.427837692787678
55.000010006258236, 1.0012885517326178, 777.0582271553793, 8.174740637820403
56.00001000657565, 1.0013222357440696, 757.2881018866073, 7.107993995775848
57.00001000689306, 1.0013568206844339, 738.0105425278878, 6.199886115117397
58.00001000721048, 1.0013923287123463, 719.2148347527218, 5.426826289854743
59.00001000752789, 1.0014287827401025, 700.8902597197531, 4.768731942379291
60.000010007845304, 1.0014662064363327, 683.0261355702324, 4.2085069370706085
61.00001000816272, 1.0015046242306302, 665.6118517114655, 3.7315974728059946
62.00001000848013, 1.001544061319984, 648.6368969855079, 3.3256140177767324
63.000010008797545, 1.0015845436768782, 632.0908826583485, 2.98000946559525
64.00001000911496, 1.0016260980589438, 615.9635610252609, 2.6858051521429975
65.00001000943237, 1.001668752020061, 600.2448403089137, 2.4353576158862755
66.00001000974979, 1.0017125339228257, 584.9247964252716, 2.22216004278475
67.0000100100672, 1.001757472952306, 569.9936821068937, 2.0406732379182344
68.00001001038461, 1.0018035991310184, 555.441933799226, 1.8861817329743498
69.00001001070203, 1.0018509433350768, 541.2601766831415, 1.754671291697008
70.00001001101944, 1.001899537311463, 527.4392281244978, 1.6427246312475103
71.00001001133685, 1.0019494136963762, 513.9700998051451, 1.5474326506293774
72.00001001165427, 1.002000606034636, 500.84399875248863, 1.466318860152444
73.00001001197168, 1.002053148800105, 488.05232745137806, 1.3972750488384682
74.0000100122891, 1.002107077417114, 475.5866831941311, 1.338506518596263
75.00001001260651, 1.0021624282828727, 463.43885680119377, 1.2884854625126363
