0.005000000000000001
0.005000000000000001
0.000106257
35
2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 2.00000000, 
1.00000000, 1.51279219, 1.72315578, 1.82864658, 1.89175869, 1.93496477, 1.96751140, 1.99376411, 2.01611473, 2.03612079, 2.05503721, 2.07414887, 2.09510224, 2.12043810, 2.15473463, 2.20750687, 2.30154958, 2.49974534, 3.00000000, 
1.00000000, 1.32820672, 1.55157067, 1.70012514, 1.80394401, 1.88114761, 1.94188374, 1.99198953, 2.03510744, 2.07382366, 2.11032049, 2.14683861, 2.18614081, 2.23216850, 2.29118111, 2.37386788, 2.49901215, 2.69744481, 3.00000000, 
1.00000000, 1.24881904, 1.45528917, 1.61692458, 1.74338104, 1.84446721, 1.92755919, 1.99785529, 2.05911668, 2.11430748, 2.16607873, 2.21716768, 2.27080011, 2.33118161, 2.40414399, 2.49788894, 2.62323672, 2.79101209, 3.00000000, 
1.00000000, 1.21223442, 1.40443145, 1.56957787, 1.70891517, 1.82652971, 1.92677453, 2.01347080, 2.08986312, 2.15881378, 2.22304703, 2.28539821, 2.34906870, 2.41788515, 2.49651115, 2.59041466, 2.70506878, 2.84333769, 3.00000000, 
1.00000000, 1.19619555, 1.38126687, 1.54876843, 1.69694710, 1.82675498, 1.94032016, 2.04013619, 2.12874184, 2.20865741, 2.28243546, 2.35275868, 2.42254859, 2.49504484, 2.57377832, 2.66228498, 2.76330660, 2.87722477, 3.00000000, 
1.00000000, 1.19183233, 1.37633967, 1.54803210, 1.70414153, 1.84402630, 1.96840285, 2.07875965, 2.17699892, 2.26525272, 2.34580811, 2.42109073, 2.49366686, 2.56621948, 2.64143593, 2.72172174, 2.80865512, 2.90219731, 3.00000000, 
1.00000000, 1.19535950, 1.38489954, 1.56362352, 1.72834209, 1.87759298, 2.01127253, 2.13022529, 2.23590495, 2.33013510, 2.41495781, 2.49254350, 2.56513105, 2.63496244, 2.70417036, 2.77457764, 2.84739031, 2.92284307, 3.00000000, 
1.00000000, 1.20526264, 1.40492793, 1.59393633, 1.76875659, 1.92747864, 2.06959357, 2.19564486, 2.30688077, 2.40497213, 2.49181027, 2.56937405, 2.63964382, 2.70453590, 2.76583160, 2.82507992, 2.88347082, 2.94171293, 3.00000000, 
1.00000000, 1.22129519, 1.43622680, 1.63910461, 1.82596025, 1.99465972, 2.14464191, 2.27650017, 2.39156340, 2.49155560, 2.57835407, 2.65383574, 2.71979096, 2.77788418, 2.82964484, 2.87647665, 2.91967731, 2.96046375, 3.00000000, 
1.00000000, 1.24418402, 1.48014014, 1.70089824, 1.90194041, 2.08117221, 2.23840286, 2.37469779, 2.49181027, 2.59176280, 2.67657564, 2.74811301, 2.80801736, 2.85771270, 2.89846936, 2.93152761, 2.95826881, 2.98039104, 3.00000000, 
1.00000000, 1.27574236, 1.53974754, 1.78293569, 2.00026933, 2.19021533, 2.35360363, 2.49254355, 2.60963412, 2.70747065, 2.78837306, 2.85426121, 2.90662860, 2.94659607, 2.97505274, 2.99290581, 3.00144545, 3.00276062, 3.00000000, 
1.00000000, 1.31942074, 1.62059519, 1.89127266, 2.12643531, 2.32625443, 2.49366690, 2.63261824, 2.74704912, 2.84040175, 2.91542266, 2.97411577, 3.01777385, 3.04707510, 3.06227914, 3.06359608, 3.05180986, 3.02913978, 3.00000000, 
1.00000000, 1.38166466, 1.73228587, 2.03548266, 2.28830208, 2.49504484, 2.66251367, 2.79750578, 2.90579909, 2.99188183, 3.05897591, 3.10913942, 3.14336930, 3.16170631, 3.16341245, 3.14737820, 3.11302013, 3.06192872, 3.00000000, 
1.00000000, 1.47520537, 1.89166845, 2.23034110, 2.49651114, 2.70336139, 2.86406932, 2.98929918, 3.08693811, 3.16249827, 3.21957587, 3.26018157, 3.28491257, 3.29299557, 3.28228831, 3.24946455, 3.19092591, 3.10550250, 3.00000000, 
1.00000000, 1.62767610, 2.12903195, 2.49788886, 2.76421753, 2.95798400, 3.10124927, 3.20880968, 3.29026049, 3.35167970, 3.39670818, 3.42713786, 3.44312365, 3.44307728, 3.42326749, 3.37723968, 3.29567997, 3.16911107, 3.00000000, 
1.00000000, 1.90659177, 2.49901199, 2.86807247, 3.10458140, 3.26318928, 3.37420082, 3.45448153, 3.51365150, 3.55727493, 3.58844950, 3.60853669, 3.61735558, 3.61290282, 3.59043856, 3.54051580, 3.44540914, 3.27522612, 3.00000000, 
1.00000000, 2.49974526, 3.09240243, 3.37084277, 3.52286689, 3.61599810, 3.67787869, 3.72124956, 3.75256626, 3.77528983, 3.79124435, 3.80116711, 3.80482116, 3.80070203, 3.78503165, 3.74894174, 3.67018379, 3.48635716, 3.00000000, 
4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 4.00000000, 
